GEO_ID,FSRR2010,state,state_name,state_short
0400000US01,62.5,1,Alabama,AL
0400000US02,55.6,2,Alaska,AK
0400000US04,61.3,4,Arizona,AZ
0400000US05,62.3,5,Arkansas,AR
0400000US06,68.2,6,California,CA
0400000US08,67.2,8,Colorado,CO
0400000US09,69.5,9,Connecticut,CT
0400000US10,64.1,10,Delaware,DE
0400000US11,66,11,,
0400000US12,63,12,Florida,FL
0400000US13,62.5,13,Georgia,GA
0400000US15,64.1,15,Hawaii,HI
0400000US16,67.1,16,Idaho,ID
0400000US17,70.5,17,Illinois,IL
0400000US18,69.6,18,Indiana,IN
0400000US19,73,19,Iowa,IA
0400000US20,70,20,Kansas,KS
0400000US21,65.7,21,Kentucky,KY
0400000US22,61,22,Louisiana,LA
0400000US23,57.4,23,Maine,ME
0400000US24,69.5,24,Maryland,MD
0400000US25,68.8,25,Massachusetts,MA
0400000US26,67.7,26,Michigan,MI
0400000US27,74.1,27,Minnesota,MN
0400000US28,61.3,28,Mississippi,MS
0400000US29,67.5,29,Missouri,MO
0400000US30,64.6,30,Montana,MT
0400000US31,71.1,31,Nebraska,NE
0400000US32,61.4,32,Nevada,NV
0400000US33,64.4,33,New Hampshire,NH
0400000US34,67.6,34,New Jersey,NJ
0400000US35,60,35,New Mexico,NM
0400000US36,64.6,36,New York,NY
0400000US37,64.8,37,North Carolina,NC
0400000US38,68.8,38,North Dakota,ND
0400000US39,69,39,Ohio,OH
0400000US40,62.3,40,Oklahoma,OK
0400000US41,66.9,41,Oregon,OR
0400000US42,70.2,42,Pennsylvania,PA
0400000US44,65.7,44,Rhode Island,RI
0400000US45,64.7,45,South Carolina,SC
0400000US46,67.1,46,South Dakota,SD
0400000US47,67.1,47,Tennessee,TN
0400000US48,64.4,48,Texas,TX
0400000US49,68.6,49,Utah,UT
0400000US50,60.3,50,Vermont,VT
0400000US51,69,51,Virginia,VA
0400000US53,67.2,53,Washington,WA
0400000US54,59.1,54,West Virginia,WV
0400000US55,73.5,55,Wisconsin,WI
0400000US56,63.4,56,Wyoming,WY
0400000US72,53.8,72,Puerto Rico,PR
